,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
label,0,0,0,7,7,2,2,7,0,0,0,0,0,0,2,2,7,7,7,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,2,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
t0,0.265823603,0.162270293,0.218914375,0.430783689,0.387103498,0.242291838,0.471384704,0.199865356,0.188569009,0.244156554,0.150485188,0.242991522,0.092789456,0.12493138,0.346945524,0.297216564,0.719274521,0.763899326,0.470024437,0.293225497,0.143699914,0.47258383,0.209767893,0.454771072,0.630414486,0.556160927,0.298021913,0.393959999,0.507404804,0.290487826,0.230786845,0.222401619,0.24573189,0.168938637,0.224790186,1.102594018,0.478984535,0.421550035,0.546860695,0.393063903,0.502912402,0.688441694,0.182444885,0.225141957,0.142105505,0.143836468,0.167192817,0.342016041,0.485895813,0.097683154,0.137552097,0.152109087,0.156073332,0.340350121,0.350624323,0.125312135,0.188185364,0.150485188,0.136288658,0.175620735,0.15094997,0.158278793,0.153310329,0.160339966,0.173915148,0.11015033,0.143157333,0.12360362,0.165441826,0.17728591,0.415230691,0.147831663,0.12955144,0.128768906,0.155946195,0.188569009,0.290931106,0.224054784,0.459222049,0.222806856,0.626188934,0.846800089,0.224989817,0.296546996,0.205927715,1.080727339,0.159891352,0.138610378,0.144024,0.144060403,0.134031415,0.148445845,0.143841654,0.131910861,0.147937626,0.148451015,0.150092229,0.178539664,0.183058113,0.145272404,0.148042977,0.166748941,0.198034912,0.216953427,0.162786961,0.183885977,0.321658462,0.163235739,0.152865291,0.150073707,0.259648383,0.283262104,0.247891515,0.114315271,0.137738034,0.104960553,0.205071568,0.249897003,0.216249138,0.297362596,0.160916686,0.215675116,0.210853979,0.148076981,0.12506406,0.15377216
t1,0.25935328,0.158839405,0.21287322,0.441508859,0.382283539,0.234828517,0.438400596,0.196218818,0.183126509,0.238466561,0.147332996,0.235501722,0.092098162,0.129477158,0.335922122,0.286658078,0.704786718,0.765778899,0.459392399,0.305499822,0.157910451,0.458782077,0.208963141,0.462304085,0.625789165,0.526634276,0.296733379,0.410788983,0.501969397,0.288793743,0.230949387,0.220671922,0.245355263,0.169549093,0.223697156,1.081927061,0.457444817,0.407949626,0.556706548,0.40170151,0.488506675,0.697351933,0.185842708,0.222156346,0.140744984,0.143717185,0.163688317,0.341004401,0.478800714,0.096936718,0.136821494,0.153014258,0.156294897,0.332917273,0.335723311,0.125692666,0.187608004,0.147332996,0.136207446,0.17418839,0.15618968,0.157813355,0.148831308,0.158004522,0.171324521,0.110933162,0.143627033,0.125856012,0.164064839,0.168485671,0.403226942,0.149197981,0.129434168,0.126688361,0.156417683,0.183126509,0.289677262,0.221657306,0.446982712,0.221479252,0.617946446,0.837923944,0.224095345,0.294343501,0.204912394,1.087418318,0.159142539,0.139244273,0.14333725,0.143989742,0.135364443,0.148652866,0.143567011,0.132496908,0.146737829,0.147752956,0.150630608,0.178176969,0.181990579,0.144705385,0.148148417,0.166466311,0.197706684,0.218292728,0.162649259,0.181857511,0.316957682,0.159635231,0.150667593,0.14745909,0.258194983,0.296556622,0.253056765,0.114278011,0.135336846,0.105775364,0.199689761,0.245751604,0.204421386,0.275591403,0.157872379,0.210575387,0.205039531,0.145426482,0.124662489,0.151747465
t2,0.252982289,0.155440494,0.206923887,0.452466309,0.377511978,0.227501065,0.407441765,0.192606658,0.177761525,0.232855603,0.144208238,0.228148714,0.091408305,0.134082779,0.325160593,0.276353627,0.690620959,0.767663777,0.448975623,0.318128258,0.172698334,0.445907086,0.208160043,0.469948679,0.62119931,0.498616397,0.293518692,0.4282161,0.496779829,0.287106246,0.231112003,0.21894978,0.244979009,0.170160562,0.222607136,1.041221738,0.43677184,0.394717276,0.566727459,0.41049549,0.474482715,0.706389248,0.189271376,0.219193071,0.139389589,0.143597916,0.160216972,0.339994967,0.471800268,0.09619195,0.136092395,0.153921694,0.156516582,0.325604796,0.32129702,0.126073614,0.187031463,0.144208238,0.136126265,0.172761574,0.161506146,0.157348469,0.144407421,0.15568395,0.168751895,0.111717805,0.144097358,0.128123045,0.162693009,0.159890294,0.391512185,0.150569558,0.129316926,0.124620155,0.156889752,0.177761525,0.288427025,0.219274282,0.435031056,0.220156103,0.609816611,0.828120887,0.223202944,0.292161733,0.203899696,1.094164252,0.158395231,0.139879316,0.142651781,0.14391908,0.136702508,0.148859993,0.143292561,0.133083925,0.14554207,0.147056282,0.151169837,0.177814633,0.18092607,0.14413929,0.148253888,0.166183859,0.19737877,0.219636589,0.162511602,0.179839924,0.312306195,0.15606986,0.148483247,0.144863427,0.256746739,0.310271978,0.258287668,0.114240721,0.13295193,0.106592126,0.202557504,0.240621433,0.199128047,0.255495578,0.153609559,0.201493666,0.196549207,0.14187932,0.124270007,0.152208969
t3,0.245185733,0.153141946,0.201792181,0.458349884,0.375602752,0.220305815,0.378327191,0.189028397,0.173434734,0.227321938,0.141038716,0.221964061,0.090503268,0.136501566,0.316605568,0.26843217,0.675631523,0.765312493,0.4416686,0.325046986,0.18208538,0.435913682,0.207358599,0.478901327,0.606286466,0.477467299,0.289012998,0.44285199,0.491802841,0.285425454,0.231274694,0.217235118,0.244603083,0.170773059,0.221520081,1.00247407,0.427406698,0.39006266,0.573692858,0.419602394,0.464502841,0.707885087,0.190170392,0.217292771,0.139150426,0.144347146,0.157285973,0.339334875,0.464883,0.095408089,0.135641471,0.158550873,0.156512916,0.318594337,0.309438556,0.126434386,0.185892507,0.141038716,0.135637745,0.171202481,0.165251613,0.156485364,0.140571937,0.157067284,0.166300654,0.111778133,0.143528253,0.128822178,0.161288008,0.152512848,0.381094396,0.151303187,0.127913073,0.122800194,0.157428652,0.173434734,0.287180454,0.216905549,0.42335704,0.218837351,0.601797342,0.815752089,0.22231254,0.289990932,0.202889696,1.100964785,0.157649443,0.140515521,0.141967654,0.143848434,0.138045713,0.149067268,0.143018335,0.13367191,0.14435026,0.146360934,0.15170984,0.177452624,0.179864615,0.143574074,0.148359358,0.165901631,0.197051093,0.220985085,0.16237399,0.17783311,0.307703227,0.152539209,0.146312073,0.14228645,0.255303472,0.324428409,0.263585478,0.114203453,0.130583078,0.107410856,0.209387451,0.234780848,0.195994586,0.241820678,0.148642033,0.190979972,0.186134174,0.13973777,0.123796903,0.15444003
t4,0.234313473,0.153172106,0.198136091,0.453950942,0.379230469,0.213239253,0.350896955,0.185483545,0.172485441,0.22186406,0.137649551,0.218545064,0.089038201,0.133103222,0.315567672,0.268723071,0.658369899,0.753036916,0.441324353,0.317689091,0.17762129,0.430980563,0.206623405,0.491897255,0.560695946,0.474268943,0.28430751,0.445319057,0.48692584,0.283765346,0.230824977,0.219986722,0.246822208,0.171431243,0.227301791,0.965546191,0.439109504,0.401881903,0.574358642,0.429185033,0.46187976,0.694532931,0.186300099,0.21848087,0.142215028,0.147683889,0.15587157,0.339328259,0.458037853,0.094484761,0.136153787,0.176651061,0.155726075,0.31232515,0.305134565,0.126723856,0.182810113,0.137649551,0.133738637,0.16917339,0.163297549,0.154243857,0.138622105,0.171635643,0.164223731,0.109324552,0.139371887,0.124062337,0.15975599,0.148782507,0.374382436,0.149805829,0.122094184,0.121807471,0.158198997,0.172485441,0.285937518,0.214551002,0.411951184,0.217523009,0.593886316,0.797670186,0.221424133,0.287831038,0.201882273,1.107821226,0.156905204,0.141152859,0.141284809,0.143777817,0.13939397,0.149274632,0.142744318,0.134260908,0.143162444,0.145666972,0.152250648,0.177090988,0.178806096,0.143009752,0.148464888,0.165619627,0.1967237,0.22233814,0.162236437,0.17583701,0.30423072,0.15020743,0.144609705,0.140196383,0.254257143,0.331607819,0.266524196,0.11442361,0.130322143,0.108040392,0.211191699,0.228180736,0.191588834,0.233844459,0.144301817,0.18384999,0.176284418,0.13878198,0.123113796,0.15475297
t5,0.223727375,0.153202266,0.194514468,0.449589401,0.382886171,0.213674694,0.341931462,0.182022229,0.171538576,0.216480419,0.134292543,0.215155408,0.087579615,0.129737422,0.31453228,0.26901418,0.641580105,0.740984976,0.440980315,0.31045118,0.173209861,0.426095605,0.206002682,0.50521934,0.5185076,0.471090108,0.279653311,0.447798043,0.482093394,0.28213492,0.229347304,0.230438679,0.252500832,0.172165141,0.24386999,0.93031311,0.451090217,0.413995653,0.57502526,0.438955128,0.45927009,0.681456923,0.182469025,0.219672531,0.145306185,0.151051924,0.15446268,0.339321703,0.45128265,0.093564011,0.136666819,0.195673525,0.154940903,0.30614385,0.300872445,0.127013564,0.179752767,0.134292543,0.131849706,0.167155415,0.161353797,0.152016118,0.136682987,0.18679978,0.162158519,0.106888585,0.135263681,0.119366884,0.158230379,0.145090491,0.367764503,0.14831464,0.11637155,0.120817557,0.158970967,0.171538576,0.284698069,0.212210491,0.400804222,0.216213077,0.586081386,0.780054152,0.220537677,0.285681963,0.200877503,1.11473453,0.1561625,0.141791329,0.140603289,0.143707216,0.140747413,0.149482101,0.142470509,0.134850875,0.141978547,0.144974321,0.152792275,0.176729694,0.177750587,0.142446324,0.148570418,0.165337846,0.196396589,0.223695844,0.162098929,0.173851565,0.302982897,0.150260583,0.143841505,0.139069319,0.254011095,0.323874086,0.26454559,0.11516948,0.134360462,0.108281083,0.203166813,0.220892072,0.185821146,0.227685586,0.143350214,0.181507453,0.168819189,0.138286367,0.122185744,0.150081292
t6,0.213416353,0.15323244,0.19092685,0.445264906,0.386570096,0.214658007,0.334381402,0.18167077,0.170594096,0.210810468,0.13096723,0.211794838,0.086127475,0.126403689,0.313499212,0.269305557,0.625243127,0.729150832,0.440636486,0.303330392,0.168850213,0.421258092,0.205844894,0.51887989,0.479354292,0.467930526,0.275188535,0.45028916,0.47156173,0.280529141,0.227146283,0.246888444,0.26743716,0.172959581,0.278581023,0.895058095,0.46335876,0.426415175,0.575692594,0.448918074,0.456673443,0.66864872,0.178676546,0.220867813,0.148424342,0.154451713,0.153059244,0.339315146,0.444615602,0.092645779,0.137180611,0.215690628,0.154157445,0.30004856,0.296651691,0.127303511,0.176720142,0.13096723,0.129970893,0.165148392,0.159420356,0.149802029,0.134754434,0.202596962,0.160104886,0.104470015,0.131202757,0.114734545,0.156711102,0.141436234,0.361238718,0.14682965,0.110742733,0.119830482,0.159744576,0.170594096,0.283476174,0.211379081,0.39425993,0.221295491,0.572528899,0.762885928,0.234776974,0.283543617,0.199070737,1.09550035,0.155421272,0.142430946,0.139923081,0.143636599,0.142106026,0.149689734,0.142196923,0.13544184,0.140798599,0.144283026,0.153334707,0.176368773,0.176698074,0.141883776,0.148676008,0.165056258,0.196069792,0.225058228,0.161961481,0.171876669,0.30173862,0.15031375,0.143074945,0.137945786,0.253765196,0.316271901,0.262576312,0.11591696,0.138445646,0.108521976,0.192573562,0.212260514,0.181012496,0.220655292,0.142401129,0.179041356,0.161754474,0.139019653,0.121981651,0.141820535
t7,0.20714213,0.154491067,0.19024016,0.442237288,0.388580024,0.215643764,0.326955318,0.181319669,0.168656766,0.205146655,0.131212562,0.214069292,0.086141534,0.126866862,0.309444636,0.268095613,0.63607806,0.726467907,0.440915346,0.284927785,0.16993311,0.41445604,0.205790296,0.527552247,0.45407024,0.454893082,0.271415412,0.454468697,0.450051993,0.278929442,0.224957332,0.26402846,0.282925963,0.17375569,0.316384792,0.860360086,0.475474775,0.432626516,0.574015141,0.441733897,0.47314921,0.666750014,0.17483747,0.225798979,0.148161471,0.156027555,0.152867898,0.33226648,0.445527941,0.092342652,0.137411132,0.235608503,0.152788699,0.296970993,0.287900716,0.136647061,0.17344074,0.131212562,0.127997488,0.16338174,0.159927949,0.149525955,0.135815442,0.223491967,0.158944309,0.10473942,0.129546955,0.11477834,0.155143708,0.138582259,0.360027313,0.147197843,0.109722845,0.121638007,0.159611106,0.168656766,0.28227663,0.21172668,0.392591,0.232553497,0.551529408,0.746149063,0.262304157,0.281293362,0.196643874,1.057104349,0.154681578,0.143071726,0.139244169,0.143566027,0.14346981,0.149897471,0.141923517,0.136033803,0.139622524,0.143593058,0.153877959,0.17600818,0.175648481,0.141322151,0.148781613,0.16477488,0.195743248,0.22642529,0.161824077,0.169912189,0.30049789,0.150366917,0.142310008,0.13682583,0.253519446,0.308797926,0.260616362,0.116666079,0.142578483,0.108763024,0.191311896,0.202187538,0.179566085,0.21309188,0.139468431,0.173233166,0.154729456,0.140050381,0.124371804,0.136470303
t8,0.202933654,0.156403705,0.191021398,0.439867139,0.389729589,0.216631994,0.319650143,0.18096891,0.165939972,0.199564427,0.134315461,0.219860002,0.087055229,0.12966603,0.303146303,0.265746295,0.663217783,0.728933752,0.441550225,0.260964483,0.174327955,0.404886812,0.205735654,0.532431066,0.437895149,0.435238779,0.272825986,0.461185217,0.429047018,0.277335703,0.222780377,0.281903148,0.298998564,0.174553484,0.357713848,0.826250732,0.487651914,0.435708284,0.571199775,0.426475555,0.500082672,0.670128763,0.171003938,0.233613253,0.145397812,0.156236112,0.153572202,0.322302133,0.449985385,0.092529833,0.137414724,0.255577296,0.1509583,0.296257943,0.275777161,0.153856352,0.169975251,0.134315461,0.12595205,0.161806181,0.162393942,0.150794789,0.139286608,0.249323174,0.158491462,0.107161127,0.129787058,0.118556701,0.153539658,0.136357456,0.363027006,0.149051487,0.112350039,0.125715047,0.158753112,0.165939972,0.281089008,0.212074652,0.392287672,0.245166525,0.527942359,0.729827225,0.291781157,0.278019726,0.19423224,1.020438552,0.15394339,0.143713668,0.138566524,0.14349544,0.144838855,0.150105312,0.141650349,0.13662675,0.138450369,0.142904416,0.154422015,0.175647914,0.174601853,0.14076139,0.148887262,0.164493755,0.195416987,0.227797031,0.161686704,0.167958096,0.299260616,0.150420099,0.141546741,0.135709435,0.253273875,0.301448941,0.258665562,0.117416844,0.146759793,0.109004229,0.196795613,0.192061126,0.179196268,0.20749335,0.135230541,0.16679652,0.147754773,0.141755074,0.126974195,0.140343711
